time,odom_x,odom_y,odom_yaw,vel_linear,vel_angular,imu_ax,imu_ay,imu_az,imu_wx,imu_wy,imu_wz
2.0074,0.0,-0.0,0.3235,0.15,0.3,0.085,0.3364,10.0766,0.0,0.0,0.0
2.0076,0.0,-0.0,0.3235,0.15,0.3,0.085,0.3364,10.0766,0.0,0.0,0.0
2.0577,0.0,-0.0,0.3235,0.15,0.3,0.0766,0.3208,10.158,0.0,0.0,0.0
2.1076,0.0,-0.0,0.3235,0.15,0.3,1.7005,-0.2388,10.0377,0.0043,-0.0117,0.0
2.1578,0.0081,0.0027,0.3152,0.15,0.3,1.5119,0.1826,10.6901,0.0426,0.0128,-0.1
2.2078,0.0081,0.0027,0.3152,0.15,0.3,0.0599,0.1676,9.7809,0.0543,0.0383,-0.1713
2.2579,0.0207,0.0067,0.3017,0.15,0.3,-0.1383,0.1125,10.8338,0.1203,-0.017,-0.0798
2.3078,0.0255,0.0082,0.3009,0.15,0.3,0.8224,-0.4752,9.9814,-0.0458,-0.0458,0.0458
2.3577,0.033,0.0105,0.3029,0.15,0.3,-0.1215,-0.2903,9.5996,-0.1032,-0.0277,0.1064
2.4076,0.0378,0.012,0.306,0.15,0.3,-0.7835,-0.0515,8.8262,0.0255,-0.0223,0.1234
2.4578,0.0445,0.0142,0.3138,0.15,0.3,0.1413,0.2442,9.0507,0.0043,0.0149,0.1735
2.5077,0.0573,0.0184,0.3316,0.15,0.3,-0.1969,0.1718,9.9874,0.0692,0.0596,0.2203
2.5577,0.0622,0.0201,0.3399,0.15,0.3,0.7566,0.6919,11.7436,0.1181,0.0245,0.2267
2.6078,0.0693,0.0227,0.3543,0.15,0.3,0.0652,0.7679,11.9381,0.0788,0.0117,0.2426
2.6578,0.0741,0.0245,0.3635,0.15,0.3,0.4657,-0.1544,9.9653,0.016,-0.0468,0.2873
2.7078,0.0819,0.0276,0.3795,0.15,0.3,0.7494,0.1161,10.5854,0.0,0.0,0.2841
2.7584,0.0931,0.0322,0.4026,0.15,0.3,-0.0168,0.1299,10.1879,0.0,0.0415,0.282
2.8078,0.0931,0.0322,0.4026,0.15,0.3,0.1059,0.5974,9.7438,0.016,0.0372,0.2958
2.8577,0.1051,0.0375,0.4278,0.15,0.3,-0.0096,-0.0658,9.6211,0.0,0.0234,0.2884
2.9077,0.1098,0.0396,0.4375,0.15,0.3,-0.3496,-0.1927,9.0573,-0.0915,-0.0351,0.3171
2.9578,0.1169,0.043,0.4539,0.15,0.3,-0.7643,0.6554,9.921,-0.0447,0.016,0.2841
3.0077,0.1215,0.0453,0.4623,0.15,0.3,0.2652,-0.0186,9.5954,0.0,-0.0287,0.2756
3.0577,0.128,0.0486,0.4778,0.15,0.3,0.5088,0.6416,9.9389,0.0255,0.0202,0.2597
3.1077,0.1397,0.0549,0.5029,0.15,0.3,0.0605,0.6057,9.9802,0.0,0.0692,0.2735
3.1577,0.1397,0.0549,0.5029,0.15,0.3,0.6949,0.7057,12.1739,0.1277,0.0394,0.2075
3.2077,0.151,0.0612,0.5262,0.15,0.3,-0.1083,0.6859,11.4084,-0.0192,0.0426,0.2703
3.2577,0.1554,0.0638,0.5353,0.15,0.3,-0.8565,0.3849,8.433,-0.0596,-0.0575,0.2809
3.3077,0.1619,0.0677,0.5493,0.15,0.3,0.7584,-0.1502,9.9934,-0.083,-0.0128,0.2916
3.3577,0.1663,0.0704,0.5575,0.15,0.3,-0.4956,0.671,10.9313,0.0532,0.0426,0.2543
3.4078,0.1733,0.0749,0.5728,0.15,0.3,0.3825,0.6572,9.5499,0.0415,0.0319,0.2277
3.4578,0.1842,0.082,0.593,0.15,0.3,0.1844,0.3334,9.8605,0.0309,0.0426,0.2214
3.5077,0.1842,0.082,0.593,0.15,0.3,-0.6039,0.5872,8.67,-0.0468,-0.0564,0.2331
3.5579,0.1954,0.0897,0.6137,0.15,0.3,0.2933,1.5724,9.4553,-0.0426,-0.0426,0.2341
3.6078,0.1996,0.0927,0.6221,0.15,0.3,0.4064,0.0479,10.7374,0.0,-0.0202,0.2448
3.6578,0.2081,0.0989,0.637,0.15,0.3,0.0198,0.4752,9.2201,0.0202,0.0383,0.2065
3.7078,0.2122,0.102,0.6429,0.15,0.3,0.9086,0.9098,12.2074,0.0287,0.0213,0.2054
3.7579,0.2202,0.1081,0.6576,0.15,0.3,0.9888,1.8238,10.8751,0.0617,-0.0607,0.1905
3.8077,0.2242,0.1112,0.6649,0.15,0.3,0.2717,0.4549,10.2885,0.0447,-0.0085,0.1979
3.8578,0.2314,0.1169,0.6752,0.15,0.3,0.1197,0.3645,10.6087,0.0724,0.0575,0.1586
3.9078,0.2354,0.1201,0.6798,0.15,0.3,0.9571,0.9714,12.0033,0.1128,0.0436,0.1234
3.9579,0.2424,0.1259,0.6912,0.15,0.3,0.2011,0.9966,11.7334,-0.0319,-0.0458,0.216
4.008,0.2463,0.1291,0.6998,0.15,0.3,0.0628,0.6309,9.8007,0.0809,-0.0064,0.232
4.0577,0.2518,0.1338,0.712,0.15,0.3,0.7727,0.1921,10.7727,0.0,0.0245,0.265
4.1078,0.2616,0.1424,0.736,0.15,0.3,-0.3083,0.0551,10.076,0.0468,0.0404,0.2597
